test-0	0
test-1	1
test-2	0
test-3	0
test-4	1
test-5	0
test-6	1
test-7	0
test-8	1
test-9	1
test-10	0
test-11	0
test-12	1
test-13	0
test-14	1
test-15	1
test-16	1
test-17	0
test-18	1
test-19	1
test-20	1
test-21	0
test-22	0
test-23	1
test-24	1
test-25	1
test-26	0
test-27	1
test-28	0
test-29	0
test-30	1
test-31	1
test-32	0
test-33	0
test-34	1
test-35	1
test-36	1
test-37	0
test-38	1
test-39	1
test-40	0
test-41	1
test-42	1
test-43	0
test-44	0
test-45	1
test-46	1
test-47	0
test-48	1
test-49	1
test-50	0
test-51	1
test-52	1
test-53	1
test-54	1
test-55	0
test-56	0
test-57	1
test-58	1
test-59	0
test-60	1
test-61	1
test-62	1
test-63	0
test-64	0
test-65	1
test-66	1
test-67	1
test-68	0
test-69	1
test-70	1
test-71	0
test-72	0
test-73	0
test-74	0
test-75	1
test-76	0
test-77	1
test-78	0
test-79	1
test-80	0
test-81	0
test-82	1
test-83	0
test-84	1
test-85	0
test-86	1
test-87	0
test-88	1
test-89	1
test-90	0
test-91	1
test-92	1
test-93	0
test-94	1
test-95	1
test-96	1
test-97	1
test-98	1
test-99	1
test-100	0
test-101	0
test-102	1
test-103	0
test-104	1
test-105	0
test-106	0
test-107	0
test-108	0
test-109	0
test-110	1
test-111	0
test-112	1
test-113	0
test-114	0
test-115	1
test-116	0
test-117	0
test-118	0
test-119	0
test-120	0
test-121	1
test-122	0
test-123	1
test-124	1
test-125	1
test-126	1
test-127	1
test-128	1
test-129	1
test-130	0
test-131	1
test-132	0
test-133	1
test-134	1
test-135	1
test-136	1
test-137	1
test-138	1
test-139	1
test-140	1
test-141	1
test-142	0
test-143	1
test-144	0
test-145	0
test-146	1
test-147	0
test-148	0
test-149	0
test-150	0
test-151	0
test-152	1
test-153	0
test-154	0
test-155	1
test-156	0
test-157	0
test-158	0
test-159	0
test-160	1
test-161	1
test-162	1
test-163	0
test-164	1
test-165	0
test-166	1
test-167	0
test-168	0
test-169	0
test-170	0
test-171	1
test-172	1
test-173	1
test-174	0
test-175	0
test-176	1
test-177	0
test-178	0
test-179	0
test-180	0
test-181	0
test-182	1
test-183	1
test-184	1
test-185	0
test-186	0
test-187	0
test-188	0
test-189	1
test-190	1
test-191	1
test-192	1
test-193	0
test-194	1
test-195	0
test-196	1
test-197	0
test-198	1
test-199	0
test-200	0
test-201	0
test-202	1
test-203	1
test-204	1
test-205	0
test-206	0
test-207	0
test-208	1
test-209	0
test-210	0
test-211	1
test-212	1
test-213	0
test-214	1
test-215	1
test-216	0
test-217	0
test-218	1
test-219	0
test-220	1
test-221	0
test-222	0
test-223	0
test-224	1
test-225	0
test-226	0
test-227	0
test-228	1
test-229	1
test-230	0
test-231	1
test-232	0
test-233	0
test-234	1
test-235	0
test-236	0
test-237	1
test-238	0
test-239	1
test-240	1
test-241	0
test-242	0
test-243	1
test-244	0
test-245	0
test-246	0
test-247	1
test-248	1
test-249	1
test-250	1
test-251	1
test-252	0
test-253	0
test-254	0
test-255	1
test-256	1
test-257	0
test-258	1
test-259	1
test-260	1
test-261	1
test-262	0
test-263	0
test-264	1
test-265	1
test-266	0
test-267	1
test-268	0
test-269	1
test-270	0
test-271	0
test-272	1
test-273	0
test-274	1
test-275	1
test-276	0
test-277	1
test-278	1
test-279	1
test-280	1
test-281	1
test-282	1
test-283	0
test-284	0
test-285	0
test-286	1
test-287	1
test-288	1
test-289	0
test-290	0
test-291	0
test-292	0
test-293	0
test-294	1
test-295	1
test-296	1
test-297	1
test-298	0
test-299	0
test-300	0
test-301	0
test-302	1
test-303	1
test-304	1
test-305	1
test-306	1
test-307	1
test-308	1
test-309	0
test-310	0
test-311	1
test-312	1
test-313	0
test-314	0
test-315	1
test-316	1
test-317	1
test-318	0
test-319	1
test-320	0
test-321	0
test-322	1
test-323	1
test-324	0
test-325	0
test-326	0
test-327	1
test-328	0
test-329	0
test-330	0
test-331	0
test-332	0
test-333	1
test-334	0
test-335	1
test-336	0
test-337	1
test-338	0
test-339	0
test-340	0
test-341	0
test-342	0
test-343	1
test-344	0
test-345	1
test-346	0
test-347	1
test-348	1
test-349	0
test-350	1
test-351	0
test-352	0
test-353	0
test-354	1
test-355	1
test-356	1
test-357	1
test-358	1
test-359	0
test-360	1
test-361	1
test-362	0
test-363	0
test-364	0
test-365	0
test-366	0
test-367	1
test-368	1
test-369	1
test-370	0
test-371	1
test-372	1
test-373	1
test-374	1
test-375	0
test-376	1
test-377	0
test-378	1
test-379	1
test-380	0
test-381	1
test-382	0
test-383	0
test-384	1
test-385	0
test-386	1
test-387	1
test-388	1
test-389	1
test-390	1
test-391	0
test-392	0
test-393	1
test-394	1
test-395	1
test-396	0
test-397	1
test-398	0
test-399	1
test-400	1
test-401	0
test-402	1
test-403	0
test-404	1
test-405	0
test-406	0
test-407	1
test-408	0
test-409	0
test-410	1
test-411	1
test-412	1
test-413	0
test-414	0
test-415	1
test-416	1
test-417	0
test-418	0
test-419	0
test-420	0
test-421	1
test-422	0
test-423	1
test-424	1
test-425	1
test-426	0
test-427	1
test-428	0
test-429	0
test-430	1
test-431	0
test-432	1
test-433	1
test-434	0
test-435	1
test-436	0
test-437	1
test-438	0
test-439	1
test-440	1
test-441	0
test-442	0
test-443	0
test-444	0
test-445	0
test-446	0
test-447	0
test-448	0
test-449	1
test-450	1
test-451	1
test-452	0
test-453	0
test-454	1
test-455	1
test-456	1
test-457	1
test-458	0
test-459	0
test-460	1
test-461	0
test-462	1
test-463	0
test-464	1
test-465	1
test-466	0
test-467	1
test-468	0
test-469	0
test-470	1
test-471	0
test-472	1
test-473	0
test-474	1
test-475	0
test-476	1
test-477	0
test-478	0
test-479	0
test-480	0
test-481	1
test-482	1
test-483	0
test-484	0
test-485	1
test-486	1
test-487	1
test-488	0
test-489	1
test-490	1
test-491	1
test-492	0
test-493	0
test-494	1
test-495	0
test-496	0
test-497	1
test-498	1
test-499	0
test-500	0
test-501	1
test-502	1
test-503	0
test-504	1
test-505	0
test-506	0
test-507	0
test-508	1
test-509	0
test-510	1
test-511	1
test-512	1
test-513	1
test-514	0
test-515	0
test-516	0
test-517	0
test-518	1
